"","Day","temp_type","temp"
"717",239,"Max",24
"718",240,"Mean",29
"719",240,"Min",20
"720",240,"Max",37
"721",241,"Mean",27
"722",241,"Min",21
"723",241,"Max",32
"724",242,"Mean",24
"725",242,"Min",18
"726",242,"Max",30
"727",243,"Mean",21
"728",243,"Min",13
"729",243,"Max",29
"730",244,"Mean",28
"731",244,"Min",24
"732",244,"Max",31
"733",245,"Mean",33
"734",245,"Min",27
"735",245,"Max",39
"736",246,"Mean",30
"737",246,"Min",22
"738",246,"Max",37
"739",247,"Mean",40
"740",247,"Min",35
"741",247,"Max",45
"742",248,"Mean",30
"743",248,"Min",19
"744",248,"Max",40
"745",249,"Mean",20
"746",249,"Min",12
"747",249,"Max",27
"748",250,"Mean",28
"749",250,"Min",18
"750",250,"Max",38
"751",251,"Mean",43
"752",251,"Min",37
"753",251,"Max",49
"754",252,"Mean",47
"755",252,"Min",40
"756",252,"Max",54
"757",253,"Mean",46
"758",253,"Min",39
"759",253,"Max",53
"760",254,"Mean",52
"761",254,"Min",44
"762",254,"Max",59
"763",255,"Mean",42
"764",255,"Min",36
"765",255,"Max",47
"766",256,"Mean",37
"767",256,"Min",31
"768",256,"Max",43
"769",257,"Mean",46
"770",257,"Min",40
"771",257,"Max",51
"772",258,"Mean",40
"773",258,"Min",36
"774",258,"Max",44
"775",259,"Mean",44
"776",259,"Min",35
"777",259,"Max",52
"778",260,"Mean",46
"779",260,"Min",34
"780",260,"Max",57
"781",261,"Mean",34
"782",261,"Min",29
"783",261,"Max",39
"784",262,"Mean",36
"785",262,"Min",29
"786",262,"Max",43
"787",263,"Mean",34
"788",263,"Min",29
"789",263,"Max",38
"790",264,"Mean",38
"791",264,"Min",29
"792",264,"Max",47
"793",265,"Mean",36
"794",265,"Min",28
"795",265,"Max",43
"796",266,"Mean",31
"797",266,"Min",23
"798",266,"Max",38
"799",267,"Mean",36
"800",267,"Min",26
"801",267,"Max",45
"802",268,"Mean",42
"803",268,"Min",34
"804",268,"Max",49
"805",269,"Mean",52
"806",269,"Min",42
"807",269,"Max",62
"808",270,"Mean",43
"809",270,"Min",39
"810",270,"Max",46
"811",271,"Mean",33
"812",271,"Min",26
"813",271,"Max",40
"814",272,"Mean",36
"815",272,"Min",25
"816",272,"Max",46
"817",273,"Mean",45
"818",273,"Min",36
"819",273,"Max",54
"820",274,"Mean",41
"821",274,"Min",35
"822",274,"Max",47
"823",275,"Mean",42
"824",275,"Min",32
"825",275,"Max",51
"826",276,"Mean",54
"827",276,"Min",41
"828",276,"Max",67
"829",277,"Mean",62
"830",277,"Min",59
"831",277,"Max",64
"832",278,"Mean",51
"833",278,"Min",42
"834",278,"Max",60
"835",279,"Mean",52
"836",279,"Min",42
"837",279,"Max",61
"838",280,"Mean",53
"839",280,"Min",42
"840",280,"Max",63
"841",281,"Mean",52
"842",281,"Min",42
"843",281,"Max",62
"844",282,"Mean",41
"845",282,"Min",37
"846",282,"Max",45
"847",283,"Mean",40
"848",283,"Min",37
"849",283,"Max",43
"850",284,"Mean",48
"851",284,"Min",39
"852",284,"Max",56
"853",285,"Mean",51
"854",285,"Min",44
"855",285,"Max",57
"856",286,"Mean",55
"857",286,"Min",43
"858",286,"Max",66
"859",287,"Mean",59
"860",287,"Min",50
"861",287,"Max",68
"862",288,"Mean",60
"863",288,"Min",55
"864",288,"Max",65
"865",289,"Mean",62
"866",289,"Min",51
"867",289,"Max",72
"868",290,"Mean",58
"869",290,"Min",52
"870",290,"Max",64
"871",291,"Mean",63
"872",291,"Min",55
"873",291,"Max",71
"874",292,"Mean",70
"875",292,"Min",59
"876",292,"Max",80
"877",293,"Mean",56
"878",293,"Min",48
"879",293,"Max",64
"880",294,"Mean",52
"881",294,"Min",46
"882",294,"Max",57
"883",295,"Mean",59
"884",295,"Min",52
"885",295,"Max",65
"886",296,"Mean",59
"887",296,"Min",48
"888",296,"Max",69
"889",297,"Mean",47
"890",297,"Min",41
"891",297,"Max",52
"892",298,"Mean",46
"893",298,"Min",39
"894",298,"Max",52
"895",299,"Mean",50
"896",299,"Min",38
"897",299,"Max",62
"898",300,"Mean",55
"899",300,"Min",46
"900",300,"Max",64
"901",301,"Mean",56
"902",301,"Min",49
"903",301,"Max",62
"904",302,"Mean",61
"905",302,"Min",50
"906",302,"Max",71
"907",303,"Mean",64
"908",303,"Min",50
"909",303,"Max",78
"910",304,"Mean",58
"911",304,"Min",48
"912",304,"Max",67
"913",305,"Mean",56
"914",305,"Min",49
"915",305,"Max",63
"916",306,"Mean",61
"917",306,"Min",48
"918",306,"Max",74
"919",307,"Mean",66
"920",307,"Min",51
"921",307,"Max",80
"922",308,"Mean",71
"923",308,"Min",57
"924",308,"Max",85
"925",309,"Mean",76
"926",309,"Min",66
"927",309,"Max",85
"928",310,"Mean",66
"929",310,"Min",59
"930",310,"Max",73
"931",311,"Mean",68
"932",311,"Min",56
"933",311,"Max",80
"934",312,"Mean",69
"935",312,"Min",56
"936",312,"Max",82
"937",313,"Mean",64
"938",313,"Min",57
"939",313,"Max",70
"940",314,"Mean",72
"941",314,"Min",61
"942",314,"Max",83
"943",315,"Mean",77
"944",315,"Min",70
"945",315,"Max",84
"946",316,"Mean",75
"947",316,"Min",64
"948",316,"Max",86
"949",317,"Mean",62
"950",317,"Min",53
"951",317,"Max",70
"952",318,"Mean",62
"953",318,"Min",50
"954",318,"Max",73
"955",319,"Mean",65
"956",319,"Min",55
"957",319,"Max",75
"958",320,"Mean",66
"959",320,"Min",57
"960",320,"Max",75
"961",321,"Mean",74
"962",321,"Min",64
"963",321,"Max",83
"964",322,"Mean",68
"965",322,"Min",60
"966",322,"Max",75
"967",323,"Mean",70
"968",323,"Min",59
"969",323,"Max",80
"970",324,"Mean",61
"971",324,"Min",54
"972",324,"Max",67
"973",325,"Mean",57
"974",325,"Min",52
"975",325,"Max",62
"976",326,"Mean",65
"977",326,"Min",55
"978",326,"Max",74
"979",327,"Mean",60
"980",327,"Min",49
"981",327,"Max",70
"982",328,"Mean",69
"983",328,"Min",56
"984",328,"Max",81
"985",329,"Mean",75
"986",329,"Min",64
"987",329,"Max",85
"988",330,"Mean",78
"989",330,"Min",67
"990",330,"Max",88
"991",331,"Mean",78
"992",331,"Min",70
"993",331,"Max",85
"994",332,"Mean",78
"995",332,"Min",70
"996",332,"Max",85
"997",333,"Mean",75
"998",333,"Min",65
"999",333,"Max",85
"1000",334,"Mean",76
"1001",334,"Min",67
"1002",334,"Max",85
"1003",335,"Mean",72
"1004",335,"Min",57
"1005",335,"Max",87
"1006",336,"Mean",55
"1007",336,"Min",51
"1008",336,"Max",58
"1009",337,"Mean",53
"1010",337,"Min",50
"1011",337,"Max",55
"1012",338,"Mean",61
"1013",338,"Min",52
"1014",338,"Max",70
"1015",339,"Mean",60
"1016",339,"Min",54
"1017",339,"Max",65
"1018",340,"Mean",63
"1019",340,"Min",55
"1020",340,"Max",70
"1021",341,"Mean",68
"1022",341,"Min",60
"1023",341,"Max",76
"1024",342,"Mean",65
"1025",342,"Min",55
"1026",342,"Max",74
"1027",343,"Mean",71
"1028",343,"Min",63
"1029",343,"Max",79
"1030",344,"Mean",76
"1031",344,"Min",68
"1032",344,"Max",83
"1033",345,"Mean",74
"1034",345,"Min",65
"1035",345,"Max",82
"1036",346,"Mean",81
"1037",346,"Min",72
"1038",346,"Max",89
"1039",347,"Mean",81
"1040",347,"Min",73
"1041",347,"Max",88
"1042",348,"Mean",79
"1043",348,"Min",72
"1044",348,"Max",86
"1045",349,"Mean",77
"1046",349,"Min",66
"1047",349,"Max",88
"1048",350,"Mean",74
"1049",350,"Min",64
"1050",350,"Max",83
"1051",351,"Mean",72
"1052",351,"Min",65
"1053",351,"Max",79
"1054",352,"Mean",74
"1055",352,"Min",66
"1056",352,"Max",82
"1057",353,"Mean",68
"1058",353,"Min",64
"1059",353,"Max",71
"1060",354,"Mean",78
"1061",354,"Min",68
"1062",354,"Max",87
"1063",355,"Mean",70
"1064",355,"Min",64
"1065",355,"Max",75
"1066",356,"Mean",80
"1067",356,"Min",71
"1068",356,"Max",88
"1069",357,"Mean",79
"1070",357,"Min",70
"1071",357,"Max",87
"1072",358,"Mean",83
"1073",358,"Min",75
"1074",358,"Max",90
"1075",359,"Mean",76
"1076",359,"Min",68
"1077",359,"Max",84
"1078",360,"Mean",74
"1079",360,"Min",65
"1080",360,"Max",83
